 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        466
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     266        -8.862652e-04      1.334757e-04     -7.482311e-05
     267        -7.471682e-04      3.054275e-04     -6.401644e-05
     268        -6.017509e-04      1.150672e-04     -5.959985e-05
     269        -9.062032e-04      9.660611e-05     -7.582734e-05
     270        -9.760630e-04     -9.781875e-05     -8.400373e-05
     271        -6.599471e-05      3.362152e-04     -3.839662e-05
     272        -4.288571e-04      7.642330e-04     -5.879281e-05
     273        -1.406539e-04      4.321968e-04     -3.975839e-05
     274         4.468546e-06     -1.435067e-05      7.961863e-07
     275        -3.081837e-03      8.987120e-04     -8.132781e-05
     276        -7.218869e-04      1.675772e-04     -6.348997e-05
     277        -6.479794e-04     -4.666850e-05     -6.152376e-05
     278        -8.332639e-04      1.257624e-04     -6.947582e-05
     279        -1.018277e-03     -2.626715e-05     -8.386571e-05
     280        -6.767075e-04     -2.285644e-05     -6.019999e-05
     281        -8.545925e-04      1.351459e-04     -6.914709e-05
     282        -7.151836e-04      4.165230e-05     -6.009829e-05
     283        -8.738482e-04      1.627649e-04     -6.862292e-05
     284        -1.083518e-03      1.157610e-04     -7.948425e-05
     285        -8.974473e-04      2.181517e-04     -6.862858e-05
     286        -1.116338e-03      2.338503e-04     -7.541735e-05
     287        -7.463704e-04      1.711245e-04     -5.994758e-05
     288        -9.283275e-04      3.214430e-04     -6.736408e-05
     289        -1.151411e-03      3.952768e-04     -7.036611e-05
     290        -7.837194e-04      3.934519e-04     -5.907086e-05
     291        -9.642950e-04      4.702385e-04     -6.603540e-05
     292        -1.202050e-03      6.835585e-04     -6.301313e-05
     293        -8.114497e-04      5.901665e-04     -5.988728e-05
     294        -1.003089e-03      6.570652e-04     -6.486720e-05
     295        -1.238004e-03      9.039564e-04     -5.704384e-05
     296        -8.399411e-04      8.087358e-04     -6.204643e-05
     297        -1.036609e-03      8.262431e-04     -6.358066e-05
     298        -1.268847e-03      1.096576e-03     -5.357503e-05
     299        -8.671649e-04      1.007000e-03     -6.480583e-05
     300        -1.067318e-03      9.764403e-04     -6.204141e-05
     301        -1.297882e-03      1.260722e-03     -5.106976e-05
     302        -9.084556e-04      1.256493e-03     -6.557787e-05
     303        -1.103595e-03      1.132877e-03     -6.110178e-05
     304        -1.329921e-03      1.405591e-03     -4.922874e-05
     305        -9.397424e-04      1.400965e-03     -6.629603e-05
     306        -1.135914e-03      1.242143e-03     -6.044290e-05
     307        -1.374129e-03      1.525898e-03     -4.824560e-05
     308        -9.690328e-04      1.493875e-03     -6.746386e-05
     309        -1.173365e-03      1.323635e-03     -5.977244e-05
     310        -1.407340e-03      1.547960e-03     -4.888676e-05
     311        -1.001713e-03      1.541029e-03     -6.836588e-05
     312        -1.206780e-03      1.350048e-03     -5.964256e-05
     313        -1.439211e-03      1.514802e-03     -5.055486e-05
     314        -1.047302e-03      1.509684e-03     -6.913645e-05
     315        -1.245737e-03      1.325158e-03     -5.969509e-05
     316        -1.474582e-03      1.422564e-03     -5.268234e-05
     317        -1.081882e-03      1.417849e-03     -6.941319e-05
     318        -1.280482e-03      1.256669e-03     -6.009535e-05
     319        -1.524677e-03      1.216837e-03     -5.699530e-05
     320        -1.114422e-03      1.285214e-03     -6.881092e-05
     321        -1.321196e-03      1.131553e-03     -6.080279e-05
     322        -1.563773e-03      1.020253e-03     -6.119957e-05
     323        -1.149754e-03      1.103509e-03     -6.864459e-05
     324        -1.357369e-03      9.916187e-04     -6.164355e-05
     325        -1.602203e-03      8.177571e-04     -6.441709e-05
     326        -1.197772e-03      8.125059e-04     -6.579989e-05
     327        -1.399606e-03      8.081859e-04     -6.184147e-05
     328        -1.663594e-03      5.012766e-04     -6.967878e-05
     329        -1.233814e-03      5.888897e-04     -6.323335e-05
     330        -1.445646e-03      6.102048e-04     -6.226736e-05
     331        -1.710556e-03      2.945711e-04     -7.324571e-05
     332        -1.269632e-03      3.709299e-04     -5.913442e-05
     333        -1.485595e-03      4.567315e-04     -6.249125e-05
     334        -1.752313e-03      1.424465e-04     -7.516995e-05
     335        -1.301679e-03      2.009985e-04     -5.484619e-05
     336        -1.523713e-03      3.410892e-04     -6.321220e-05
     337        -1.791276e-03      4.137919e-05     -7.505454e-05
     338        -1.349631e-03      3.687043e-05     -5.157451e-05
     339        -1.566785e-03      2.484625e-04     -6.283083e-05
     340        -1.836868e-03     -1.001332e-05     -7.517966e-05
     341        -1.383730e-03     -1.535636e-05     -4.987476e-05
     342        -1.827515e-03      1.856048e-04     -7.083835e-05
     343        -1.488782e-03      2.246403e-04     -4.958548e-05
     344        -1.928611e-03      7.980822e-05     -7.116187e-05
     345        -1.795532e-03      3.336142e-04     -6.732106e-05
     346        -1.983998e-03      2.996104e-04     -7.101019e-05
     347        -1.794911e-03      4.035316e-04     -6.608608e-05
     348        -1.532437e-03      4.911450e-04     -5.163872e-05
     349        -1.800145e-03      5.379241e-04     -6.573504e-05
     350        -2.055008e-03      6.853478e-04     -6.882884e-05
     351        -1.818415e-03      6.773331e-04     -6.605822e-05
     352        -2.091145e-03      9.105602e-04     -6.795284e-05
     353        -1.572681e-03      7.900968e-04     -5.735750e-05
     354        -1.846447e-03      8.838673e-04     -6.723777e-05
     355        -1.624224e-03      1.167471e-03     -6.409748e-05
     356        -1.870907e-03      1.029819e-03     -6.872833e-05
     357        -2.166790e-03      1.387897e-03     -6.871721e-05
     358        -1.902808e-03      1.209856e-03     -7.066695e-05
     359        -2.205105e-03      1.604279e-03     -6.832613e-05
     360        -1.672157e-03      1.488475e-03     -7.065292e-05
     361        -1.944315e-03      1.414013e-03     -7.286569e-05
     362        -2.247158e-03      1.805957e-03     -7.009895e-05
     363        -1.712100e-03      1.710221e-03     -7.703114e-05
     364        -1.984680e-03      1.575208e-03     -7.487589e-05
     365        -2.288142e-03      1.951374e-03     -7.228559e-05
     366        -1.771609e-03      1.942977e-03     -8.292386e-05
     367        -2.034585e-03      1.717055e-03     -7.751844e-05
     368        -2.334221e-03      2.045884e-03     -7.490954e-05
     369        -1.817456e-03      2.037896e-03     -8.666520e-05
     370        -2.079981e-03      1.788534e-03     -7.957985e-05
     371        -2.399303e-03      2.052979e-03     -7.877208e-05
     372        -1.861260e-03      2.058610e-03     -8.956512e-05
     373        -2.133588e-03      1.800723e-03     -8.146264e-05
     374        -2.448812e-03      1.966248e-03     -8.183680e-05
     375        -1.909795e-03      2.005460e-03     -9.144454e-05
     376        -2.181591e-03      1.748750e-03     -8.263250e-05
     377        -2.496385e-03      1.820496e-03     -8.454797e-05
     378        -1.976761e-03      1.812716e-03     -9.119712e-05
     379        -2.237418e-03      1.621125e-03     -8.315333e-05
     380        -2.570873e-03      1.495065e-03     -8.855627e-05
     381        -2.026508e-03      1.595756e-03     -8.955089e-05
