 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . (NUMNP)  =        845
      NUMBER OF ELEMENT GROUPS . . . . . . (NUMEG)  =          1
      NUMBER OF LOAD CASES . . . . . . . . (NLCASE) =          1
      SOLUTION MODE  . . . . . . . . . . . (MODEX)  =          1


 D I S P L A C E M E N T S (Final State)

    NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
     200         2.143766e-05      4.846087e-06      3.166571e-06
     201         1.771981e-05      6.585014e-06      7.669458e-06
     202         1.333868e-05      3.863199e-06      9.371503e-06
     203         1.330338e-05     -1.709659e-06      9.404014e-06
     204         1.778118e-05     -4.152489e-06      7.902932e-06
     205         1.482736e-05      1.218423e-06      1.028888e-05
     206         2.888261e-05     -4.409804e-06     -4.436055e-06
     207         2.232120e-05      9.060004e-06      1.380756e-06
     208         2.658223e-05      2.754639e-06     -2.404683e-06
     209         3.291281e-05      4.341691e-06     -6.954678e-06
     210         3.299351e-05     -1.604081e-06     -6.767736e-06
     211         3.572055e-05      1.375949e-06     -7.758538e-06
     212         2.829997e-05     -6.069478e-06     -1.560888e-06
     213         2.592915e-05     -2.578106e-06      4.742874e-08
     214         2.755607e-05     -6.452975e-06      1.825945e-06
     215         2.020425e-05     -1.076644e-06      5.621530e-06
     216         2.260882e-05     -5.881829e-06      5.122301e-06
     217         2.306801e-05     -3.949710e-06      8.450400e-06
     218         2.695644e-05      5.000538e-06     -1.324229e-07
     219         3.422613e-05      7.068111e-06     -5.311323e-06
     220         2.828629e-05      8.763958e-06     -1.895601e-06
     221         2.516076e-05      1.512862e-06      1.699899e-06
     222         2.246451e-05      8.481251e-06      4.772625e-06
     223         2.179366e-05      3.245102e-06      6.434780e-06
     224         2.314457e-05      6.794516e-06      8.091078e-06
     225         1.845830e-05      4.013843e-06      9.983076e-06
     226         1.835955e-05     -1.491945e-06      1.014988e-05
     227         2.007879e-05      1.405916e-06      1.097873e-05
     228         3.413929e-05     -4.318599e-06     -4.932170e-06
     229         3.006876e-05     -4.031154e-06      6.295953e-07
     230         3.480706e-05      4.769127e-06     -3.425843e-06
     231         3.836399e-05      4.635073e-06     -7.525857e-06
     232         2.759728e-05      9.201916e-06      1.290356e-06
     233         3.403044e-05      8.775583e-06     -2.491853e-06
     234         3.982215e-05      7.328340e-06     -5.703519e-06
     235         3.396928e-05     -5.871003e-06     -2.054597e-06
     236         3.463254e-05     -3.260819e-06     -1.862038e-06
     237         2.791630e-05     -5.633051e-06      5.562502e-06
     238         3.320918e-05     -6.326438e-06      1.752869e-06
     239         2.764323e-05      5.070437e-06      5.487974e-06
     240         2.784326e-05      8.550398e-06      5.165994e-06
